ticker,date,price,eps,pe_ratio,net_income,total_assets,shareholders_equity,total_debt,roe,roa,debt_to_equity,market_cap,shares_outstanding
AAPL,2025-05-02,205.35,1.65,124.45454545454545,24780000000.0,331233000000.0,66796000000.0,92200000000.0,0.3709802982214504,0.07481138654663032,1.3803221749805377,3083983636363.6367,15018181818.18182
AAPL,2025-01-31,236.0,2.41,97.9253112033195,36330000000.0,344085000000.0,66758000000.0,94800000000.0,0.5442044399173133,0.10558437595361611,1.4200545253003385,3557626556016.597,15074688796.680496
AAPL,2024-11-01,222.91,6.11,36.48281505728314,93736000000.0,364980000000.0,56950000000.0,96662000000.0,1.6459350307287095,0.25682503150857583,1.6973134328358208,3419753152209.4927,15341407528.641571
AAPL,2024-08-02,219.86,1.4,157.04285714285717,21448000000.0,331612000000.0,66708000000.0,98300000000.0,0.32152065719254064,0.06467799717742422,1.473586376446603,3368255200000.0005,15320000000.000002
AAPL,2024-05-03,183.38,1.53,119.85620915032679,23636000000.0,337411000000.0,74194000000.0,102600000000.0,0.3185702347898752,0.07005106531796533,1.382861147801709,2832921359477.124,15448366013.071896
AAPL,2024-02-02,185.85,2.19,84.86301369863014,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.45770580296896085,0.09593962332467738,1.4304993252361673,2878213972602.7397,15486757990.86758
AAPL,2023-11-03,176.65,6.16,28.676948051948052,96995000000.0,352583000000.0,62146000000.0,105103000000.0,1.5607601454639075,0.27509834563776475,1.6912271103530396,2781520576298.7017,15745941558.441559
AAPL,2023-08-04,181.99,1.27,143.2992125984252,19881000000.0,335038000000.0,60274000000.0,105300000000.0,0.32984371370740284,0.059339537604689616,1.7470219331718486,2848931645669.2915,15654330708.661417
AAPL,2023-05-05,173.57,1.53,113.44444444444444,24160000000.0,332160000000.0,62158000000.0,107600000000.0,0.38868689468773127,0.07273603082851637,1.7310724283278098,2740817777777.7773,15790849673.202614
AAPL,2023-02-03,154.5,1.89,81.74603174603175,29998000000.0,346747000000.0,56727000000.0,109400000000.0,0.5288134398082042,0.08651264466599567,1.9285349128281066,2452217460317.4604,15871957671.957672
AAPL,2022-10-28,155.74,6.15,25.32357723577236,99803000000.0,352755000000.0,50672000000.0,,1.9695887275023682,0.2829244092925685,,2527368978861.7886,16228130081.300812
AAPL,2022-07-29,162.51,1.2,135.425,19442000000.0,336309000000.0,58107000000.0,108700000000.0,0.3345896363605073,0.057809930748210725,1.8706868363536235,2632932850000.0,16201666666.666668
AAPL,2022-04-29,157.65,1.54,102.37012987012987,25010000000.0,350662000000.0,67399000000.0,113000000000.0,0.37107375480348376,0.07132224193097626,1.6765827386163,2560276948051.948,16240259740.25974
AAPL,2022-01-28,170.33,2.11,80.72511848341233,34630000000.0,381191000000.0,71932000000.0,117800000000.0,0.4814269031863427,0.09084684580695766,1.6376577879108047,2795510853080.569,16412322274.881517
AAPL,2021-10-29,149.8,5.67,26.419753086419757,94680000000.0,351002000000.0,63090000000.0,,1.5007132667617689,0.26974205275183616,,2501422222222.2227,16698412698.412699
AAPL,2021-07-28,144.98,1.31,110.67175572519082,21744000000.0,329840000000.0,64280000000.0,,0.3382700684505289,0.06592287169536745,,2406446656488.5493,16598473282.442747
AAPL,2021-04-29,133.48,1.41,94.66666666666667,23630000000.0,337158000000.0,69178000000.0,,0.3415825840585157,0.07008583512774426,,2236973333333.3335,16758865248.226952
