date,open,high,low,close,volume,ticker,price,eps,pe_ratio,net_income,total_assets,shareholders_equity,total_debt,roe,roa,debt_to_equity,market_cap,shares_outstanding,is_eps_missing,is_eps_stale,is_pe_ratio_missing,is_pe_ratio_stale,is_net_income_missing,is_net_income_stale,is_total_assets_missing,is_total_assets_stale,is_shareholders_equity_missing,is_shareholders_equity_stale,is_total_debt_missing,is_total_debt_stale,is_roe_missing,is_roe_stale,is_roa_missing,is_roa_stale,is_debt_to_equity_missing,is_debt_to_equity_stale,is_market_cap_missing,is_market_cap_stale,is_shares_outstanding_missing,is_shares_outstanding_stale
2024-01-19,,191.95,188.82,191.56,68887985.0,AAPL,191.56,6.16,31.0974025974026,96995000000.0,352583000000.0,62146000000.0,105103000000.0,1.5607601454639075,0.2750983456377647,1.6912271103530396,2781520576298.7017,15745941558.44156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-22,,195.33,192.26,193.89,60131852.0,AAPL,193.89,6.16,31.47564935064935,96995000000.0,352583000000.0,62146000000.0,105103000000.0,1.5607601454639075,0.2750983456377647,1.6912271103530396,2781520576298.7017,15745941558.44156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-23,,195.75,193.8299,195.18,42355590.0,AAPL,195.18,6.16,31.685064935064936,96995000000.0,352583000000.0,62146000000.0,105103000000.0,1.5607601454639075,0.2750983456377647,1.6912271103530396,2781520576298.7017,15745941558.44156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-24,,196.38,194.34,194.5,53631316.0,AAPL,194.5,6.16,31.57467532467532,96995000000.0,352583000000.0,62146000000.0,105103000000.0,1.5607601454639075,0.2750983456377647,1.6912271103530396,2781520576298.7017,15745941558.44156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-25,,196.2675,193.1125,194.17,54822126.0,AAPL,194.17,6.16,31.52110389610389,96995000000.0,352583000000.0,62146000000.0,105103000000.0,1.5607601454639075,0.2750983456377647,1.6912271103530396,2781520576298.7017,15745941558.44156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-26,,194.76,191.94,192.42,44587111.0,AAPL,192.42,6.16,31.237012987012985,96995000000.0,352583000000.0,62146000000.0,105103000000.0,1.5607601454639075,0.2750983456377647,1.6912271103530396,2781520576298.7017,15745941558.44156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-29,,192.2,189.58,191.73,47145622.0,AAPL,191.73,6.16,31.125,96995000000.0,352583000000.0,62146000000.0,105103000000.0,1.5607601454639075,0.2750983456377647,1.6912271103530396,2781520576298.7017,15745941558.44156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-30,,191.8,187.47,188.04,55836970.0,AAPL,188.04,6.16,30.525974025974023,96995000000.0,352583000000.0,62146000000.0,105103000000.0,1.5607601454639075,0.2750983456377647,1.6912271103530396,2781520576298.7017,15745941558.44156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-31,,187.095,184.35,184.4,55467803.0,AAPL,184.4,6.16,29.935064935064936,96995000000.0,352583000000.0,62146000000.0,105103000000.0,1.5607601454639075,0.2750983456377647,1.6912271103530396,2781520576298.7017,15745941558.44156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-01,,186.95,183.82,186.86,64885408.0,AAPL,186.86,6.16,30.334415584415584,96995000000.0,352583000000.0,62146000000.0,105103000000.0,1.5607601454639075,0.2750983456377647,1.6912271103530396,2781520576298.7017,15745941558.44156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-02,,187.33,179.25,185.85,102527680.0,AAPL,185.85,2.19,84.86301369863014,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-05,,189.25,185.84,187.68,69654320.0,AAPL,187.68,2.19,85.69863013698631,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-06,,189.31,186.7695,189.3,43490759.0,AAPL,189.3,2.19,86.43835616438356,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
